"","SimNum","Linked_Stages","Survive_Fish","Survive_Total","Max_T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"new_val",1,0,2,26,3.58356782774838,551.819529912189,569.558241175568,557.181156445321,15.565874825714,80.5074302393047,215.390928727893,6.92823642751031,4.99589180795308,10.3533779701227,13.0311881362748,39.1269767303416,194.207784673831,7.55280647860353,40.2775175935412,9.69630187685578,0.212172043359001,32.0881144401089,2.65021835832258,537.338487006076,524.284831774073,537.131476598342,0.0205183080967229,11.2188001131361,0.0294973198895171
"new_val",2,0,2,19,3.77721055629042,568.170236042912,1476.26074711018,566.576121620832,18.3969981544263,3300.21000856133,39.7354441107531,21.441125583246,17.9020382003543,24.0716059593211,16.9838281899936,160.793868814879,39.064660127051,9.06645887069774,1035.31337500765,4.28190228680196,0.247373183693966,1955.3669978115,0.0628426003935437,537.662651588969,423.045333902178,538.222613374709,0.040590465228533,1315.44362239325,0.0174740990931933
"new_val",3,0,2,27,5.65897143873187,179.496644381532,179.397827677334,180.797049626044,19646.0507871874,19503.2116735745,19759.1435423097,2.34820195737524,1.66165448620305,3.47644939447835,3.23891963434907,1.83672696345495,8.36855016738913,93.1761220064427,94.0629345267713,93.1180481825618,1474.11188928241,1477.94113756499,1488.69699382803,83.9723204177142,83.6732386643592,84.2025520490035,16801.5560251265,16672.9691232405,16916.0114552765
"new_val",4,0,2,25,4.52,332.224974512519,351.659366031676,364.671598999375,41739.9528521081,41638.2765831675,43798.3032573872,98.2136124910744,10.8955524198247,114.690177046009,223.603077182835,380.707036449136,828.067924965868,61.8370939364392,165.444205528239,67.5454536053042,3244.3060061685,2110.15811317019,3284.38800690974,172.174268085005,175.319608083613,182.435968348062,43112.8300208972,46055.6172983612,46509.5048039735
"new_val",5,0,2,29,3.76888008974045,560.330400288049,557.009570240255,561.790116294607,8.31245046652873,48.4127001165554,18.5031452949714,16.5332340204426,8.2656149741593,19.5073680876025,4.04218163667661,44.6113492195401,17.2492978389477,5.46109151859394,12.7454803728696,3.70157491749139,5.24905426956824,9.77390331847004,1.41088423433575,538.336074749012,535.998474893226,538.581173289513,0.0512387010541239,0.676684039568819,0.0280167140554405
"new_val",6,0,2,26,3.87615740740741,553.088441069031,556.173171296889,558.168139346395,16.4228456712989,342.466956968942,80.9543160703032,6.199634851914,6.00175359073801,10.0259657170874,2.7879067587523,46.4516372572106,81.0429728587104,12.2873325246282,31.3187848614285,13.0771127695471,59.0170629782624,797.091029385603,56.4528677854962,534.601473692489,518.852632844722,535.06506085976,46.3516145842792,1352.21103298819,26.9549690641275
"new_val",7,0,2,15,4.4375,915.213966530906,483.791508624193,959.446462966263,1362.11225801846,2219.66213689591,1469.7729042297,5.0283225415657,6.0873024647843,5.6975499551378,3.65674986540299,45.8481620434555,4.72644866209198,864.209196836961,454.88704130728,905.268138388821,1103.24788303472,1826.22555143992,1180.88580038808,45.9764471523795,22.8171648521285,48.4807746223036,191.03499514552,321.745123803124,216.234966242482
"new_val",8,0,2,27,4.3795131325849,638.925976703827,646.294059266324,655.75266244021,3258.73530039242,7235.2118875008,4458.14052349771,15.778444723777,8.1924903807618,19.5843792831875,186.35419555393,70.5230673722451,488.524962279797,111.491391790454,134.882395075963,124.770570267429,1075.70314325643,4642.43300979456,1716.82093034753,511.656140189596,503.219173809599,511.397712889593,3644.02915208738,5310.77963623823,3968.3040972408
"new_val",9,0,3,20,4.18858337842713,443.162325475239,1142.75044790354,397.764131595305,17382.2663072285,941.159861038741,18012.3953139033,204.139438614963,32.0893251037039,222.270661482073,497.324161988336,231.816016287383,1383.76592430813,68.711200052539,741.815131614449,49.4763935088109,825.255415554635,398.791073798268,673.758063466038,170.311686807736,369.80565016557,126.017076604421,19922.1534482538,1227.67792547222,14485.8306721144
"new_val",10,0,2,28,3.82995497633548,563.677317440449,578.00036735937,567.880635731094,43.1477461277888,970.661199461513,112.429402186268,19.6372337844945,9.84751771437805,24.057073269839,44.3023268818126,49.1447191688388,113.011675533012,7.12632330876776,42.441304157543,6.90070183454623,0.0738412444560891,1241.34406181426,0.222855176137855,536.913760347187,525.711545487449,536.922860626709,0.0303060544867239,289.18240647462,0.0471623972353157
"new_val",11,0,2,12,3.73802806712963,1244.12312959817,1270.43297510675,1048.88326847178,44030.2459909391,37286.1864788605,58439.2119416085,4.41155573946353,4.86572808934139,10.8866248025297,5.54178648080579,76.2188154442436,28.7672337885774,966.271310436445,1011.04388059551,691.035605488796,34430.6966481914,14496.0877373064,42644.9552420309,273.440263422263,254.523366421894,346.961038180456,16575.6939947319,18023.3641514326,25322.6026603627
"new_val",12,0,2,21,3.7275,587.722362488771,545.514616515834,605.33826150836,434.700902592581,5.55805274037333,1791.49931336521,34.2859647614423,5.28974060622069,47.3504281593429,397.395046538402,5.46063951556516,1530.12724864635,14.3717150868555,1.00397274253984,18.9215380718777,6.4377348723292,0.0751393559907765,45.4143357602011,539.064682640473,539.220903167073,539.06629527714,0.0288294049010681,0.0211415470076005,0.0384981852520955
"new_val",13,0,2,29,4.375,632.009917433441,1043.11915049664,565.043327708642,190.920461643988,25.2645564833285,31.3065111898195,39.7354354264631,4.55834148788759,24.8731225818221,70.4045623120533,24.746659055286,30.8617110258339,58.6493132396843,573.926392314223,0.817140708967895,110.301120418772,0.0152926483705857,0.0997281159295669,535.639963369132,464.634416694528,539.353064417852,1.27758166216688,0.0162067418067184,0.0339502611662871
