"","SimNum","Linked_Stages","Survive_Fish","Survive_Total","Max_T","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"new_val",1,0,3,23,4.50822947574214,633.48088295961,633.48088295961,0.0458127282688545,0.045806619497137,19.3943591635986,19.3943591635986,7.4450358751343e-08,7.44404313738884e-08,90.9610136675937,90.9610136675937,1.39776961632192e-06,1.39758323459282e-06,523.125510128417,523.125510128417,0.0464374566570828,0.046431264582684
"new_val",2,0,3,18,4,555.523618103927,555.523494839235,0.0306999011963358,0.0313827328369807,14.0176791921635,14.0176815882356,1.39198699936091e-08,1.50012762487333e-08,3.43306811246497,3.43305650432932,1.18492357912527e-09,1.85995811169501e-09,538.072870799299,538.07275674667,0.0307448847985776,0.0314287046950538
"new_val",3,0,1,9,3.63322916666667,552.577074511431,552.577181037605,0.016355298382315,0.0161709280499394,14.0225121500305,14.0225116061043,5.64288161138345e-09,5.57747510544964e-09,0.167358867478583,0.167358762452984,2.42468376709215e-12,2.0919264668088e-12,538.387203493922,538.387310669047,0.0163746988299546,0.0161901077869499
"new_val",4,0,1,8,3.58123668026548,547.835255994582,547.835256003972,0.0139525955173088,0.0139507314890038,9.36764857910516,9.36764861782576,3.48723271075104e-09,3.48662497627536e-09,0.0218984689743004,0.0218984325246897,6.28774424348483e-14,9.1884597346838e-15,538.445708946503,538.445708953622,0.0139665709960008,0.0139647052029616
"new_val",5,0,1,10,4.95833333333333,544.921211731323,544.911589963251,0.01959957705302,0.0199877437464806,4.43439052420566,4.45698532316876,2.23672021142464e-05,7.64524746868577e-06,0.830695558220695,0.798262345991705,5.42532554132796e-05,1.34961443326249e-05,539.656125648897,539.656342294091,0.0195977761358642,0.0199926818696918
"new_val",6,0,2,13,5.0839405548738,583.446925506045,583.446832830593,0.0271970609760293,0.027999084093357,22.0121621590615,22.0121545887019,6.55121081309243e-08,6.74966589327568e-08,25.523327944131,25.5233197922112,2.11695458842494e-10,2.59732417424071e-10,535.911435402852,535.91135844968,0.0272810526892451,0.0280855606674453
"new_val",7,0,2,20,4,564.046372351848,564.046119737717,0.0303399942674277,0.0303362425612069,11.5127201169592,11.5127528665439,7.81163545541567e-09,7.81061104427174e-09,15.1364789195158,15.1361695010847,1.15382273995348e-08,1.19544826443398e-08,537.397173315373,537.397197370089,0.0304038048010196,0.0304000568008934
"new_val",8,0,3,17,4,573.04218439578,573.042180014332,0.0274344723142016,0.027430663094749,13.1553373359172,13.1553412194719,8.68928886323481e-09,8.68506203623083e-09,23.544538596089,23.5445291847989,2.64936385021077e-08,2.64742463066974e-08,536.342308463774,536.342309610061,0.0275193077997615,0.0275154871748963
"new_val",9,0,1,17,4.76897947731281,2783.49435079649,2783.2148994674,1328.06761644055,1326.93908751673,56.248799652112,56.2456043894896,2.55678581669436,2.55217164716735,2449.52972350399,2449.29209367997,518.234428841372,518.167598907594,277.715827640386,277.67720139794,380.778378648145,380.498626759907
"new_val",10,0,0,8,4.23611111111111,977.950251691503,NA,1.16533738127857e-23,NA,1.91975586923329e-142,NA,1.18378419516406e-282,NA,915.589013202325,915.589013202327,1.09789885087964e-23,0,62.3612384891786,62.3612384891787,1.61777265259496e-26,0
"new_val",11,0,1,16,3.50919540229885,577.936108562033,577.936111531844,0.0193808574885876,0.0193697616641268,11.8546075490042,11.8546075494947,8.8539468723574e-09,8.8487491182003e-09,30.199788017367,30.199787976636,2.16576891372417e-08,2.16449132379211e-08,535.881712995662,535.881716005713,0.0194480575739491,0.0194369229114331
"new_val",12,0,3,11,3.93608630952381,573.266738183704,573.26670272588,0.0159649912672089,0.0158014054541948,29.7130172737245,29.7130172454507,8.77120986493879e-09,8.68050927018419e-09,8.03552305178967,8.03552303381067,8.43138522015904e-10,8.34499316291573e-10,535.769045638484,535.769010188598,0.0160190199031599,0.015854879441858
"new_val",13,0,3,18,4,555.523618103927,555.523494839235,0.0306999011963358,0.0313827328369807,14.0176791921635,14.0176815882356,1.39198699936091e-08,1.50012762487333e-08,3.43306811246497,3.43305650432932,1.18492357912527e-09,1.85995811169501e-09,538.072870799299,538.07275674667,0.0307448847985776,0.0314287046950538
"new_val",14,0,1,9,3.63322916666667,552.577074511431,552.577181037605,0.016355298382315,0.0161709280499394,14.0225121500305,14.0225116061043,5.64288161138345e-09,5.57747510544964e-09,0.167358867478583,0.167358762452984,2.42468376709215e-12,2.0919264668088e-12,538.387203493922,538.387310669047,0.0163746988299546,0.0161901077869499
"new_val",15,0,1,8,3.58123668026548,547.835255994582,547.835256003972,0.0139525955173088,0.0139507314890038,9.36764857910516,9.36764861782576,3.48723271075104e-09,3.48662497627536e-09,0.0218984689743004,0.0218984325246897,6.28774424348483e-14,9.1884597346838e-15,538.445708946503,538.445708953622,0.0139665709960008,0.0139647052029616
"new_val",16,0,1,10,4.95833333333333,544.921211731323,544.911589963251,0.01959957705302,0.0199877437464806,4.43439052420566,4.45698532316876,2.23672021142464e-05,7.64524746868577e-06,0.830695558220695,0.798262345991705,5.42532554132796e-05,1.34961443326249e-05,539.656125648897,539.656342294091,0.0195977761358642,0.0199926818696918
"new_val",17,0,2,13,5.0839405548738,583.446925506045,583.446832830593,0.0271970609760293,0.027999084093357,22.0121621590615,22.0121545887019,6.55121081309243e-08,6.74966589327568e-08,25.523327944131,25.5233197922112,2.11695458842494e-10,2.59732417424071e-10,535.911435402852,535.91135844968,0.0272810526892451,0.0280855606674453
